,Unnamed: 0,Id,Título,Questão,Tags,Pontuação,Visualizações,sem_code_tag,questoes tratadas
0,0,2402,Como fazer hash de senhas de forma segura?,"<p>Se eu fizer o <em><a href=""http://pt.wikipedia.org/wiki/Fun%C3%A7%C3%A3o_de_embaralhamento_criptogr%C3%A1fico"" rel=""noreferrer"">hash</a></em> de senhas antes de armazená-las em meu banco de dados é suficiente para evitar que elas sejam recuperadas por alguém?</p>

<p>Estou falando apenas da recuperação diretamente do banco de dados e não qualquer outro tipo de ataque, como <a href=""http://pt.wikipedia.org/wiki/Ataque_de_for%C3%A7a_bruta"" rel=""noreferrer"">força bruta</a> na página de login da aplicação, <em><a href=""http://pt.wikipedia.org/wiki/Keylogger"" rel=""noreferrer"">keylogger</a></em> no cliente e <a href=""http://pt.wikipedia.org/wiki/Criptoan%C3%A1lise_de_mangueira_de_borracha"" rel=""noreferrer"">criptoanálise <em>rubberhose</em></a>. Qualquer forma de <em>hash</em> não vai impedir esses ataques.</p>

<p>Tenho preocupação em dificultar ou até impossibilitar a obtenção das senhas originais caso o banco de dados seja comprometido. Como dar maior garantia de segurança neste aspecto?</p>

<p>Quais preocupações adicionais evitariam o acesso às senhas? Existem formas melhores de fazer esse <em>hash</em>?</p>
",<hash><segurança><senhas><criptografia>,350,22367,"Se eu fizer o hash de senhas antes de armazená-las em meu banco de dados é suficiente para evitar que elas sejam recuperadas por alguém?

Estou falando apenas da recuperação diretamente do banco de dados e não qualquer outro tipo de ataque, como força bruta na página de login da aplicação, keylogger no cliente e criptoanálise rubberhose. Qualquer forma de hash não vai impedir esses ataques.

Tenho preocupação em dificultar ou até impossibilitar a obtenção das senhas originais caso o banco de dados seja comprometido. Como dar maior garantia de segurança neste aspecto?

Quais preocupações adicionais evitariam o acesso às senhas? Existem formas melhores de fazer esse hash?
",se eu fizer o hash de senhas antes de armazenálas em meu banco de dados é suficiente para evitar que elas sejam recuperadas por alguém estou falando apenas da recuperação diretamente do banco de dados e não qualquer outro tipo de ataque como força bruta na página de login da aplicação keylogger no cliente e criptoanálise rubberhose qualquer forma de hash não vai impedir esses ataques tenho preocupação em dificultar ou até impossibilitar a obtenção das senhas originais caso o banco de dados seja comprometido como dar maior garantia de segurança neste aspecto quais preocupações adicionais evitariam o acesso às senhas existem formas melhores de fazer esse hash 
1,1,6441,Qual é a diferença entre INNER JOIN e OUTER JOIN?,"<p>Qual é a diferença entre <code>INNER JOIN</code> e <code>OUTER JOIN</code>? Podem me dar alguns exemplos?</p>
",<sql><join>,276,176953,"Qual é a diferença entre CODE e CODE? Podem me dar alguns exemplos?
",qual é a diferença entre code e code podem me dar alguns exemplos 
2,2,579,Por que não devemos usar funções do tipo mysql_*?,"<p>Uma dúvida muito comum é por que devemos parar de usar funções do tipo mysql_* ? Por exemplo <code>mysql_query()</code>, ou <code>mysql_connect()</code>.</p>

<p>Vejo que muitas pessoas as usam, ou param de usar mas não sabem o real motivo. Por que elas deveriam parar de ser usadas uma vez que funcionam?</p>
",<php><mysql>,226,9761,"Uma dúvida muito comum é por que devemos parar de usar funções do tipo mysql_* ? Por exemplo CODE, ou CODE.

Vejo que muitas pessoas as usam, ou param de usar mas não sabem o real motivo. Por que elas deveriam parar de ser usadas uma vez que funcionam?
",uma dúvida muito comum é por que devemos parar de usar funções do tipo mysql_ por exemplo code ou code vejo que muitas pessoas as usam ou param de usar mas não sabem o real motivo por que elas deveriam parar de ser usadas uma vez que funcionam 
3,3,2539,As mensagens de erro devem se desculpar?,"<p>É comum encontrar uma mensagem de erro que diz: ""<em>Desculpe, você não tem permissão para acessar esta função. Entre em contato com o administrador para obter ajuda.</em>"" </p>

<p>É apropriado um ""pedido de desculpas"" neste caso?</p>

<p>É um caso claro que o problema não é culpa do sistema/plataforma/provedor do serviço. Então por que deveria existir esse pedido de desculpas? Isso é importante?</p>

<p>Tem alguma fonte de informação autoritativa que justifique o seu uso?</p>

<p>Note que não estou perguntando se você usa de um jeito ou de outro, e o que você acha que é certo. <strong>Respostas com opiniões sem base são inválidas e devem ser votadas negativamente</strong>. Informações que indiquem com clareza e justificativa de qual o motivo do uso, ou não, são construtivas.</p>
",<aplicação-web><gui><console><ux>,214,5075,"É comum encontrar uma mensagem de erro que diz: ""Desculpe, você não tem permissão para acessar esta função. Entre em contato com o administrador para obter ajuda."" 

É apropriado um ""pedido de desculpas"" neste caso?

É um caso claro que o problema não é culpa do sistema/plataforma/provedor do serviço. Então por que deveria existir esse pedido de desculpas? Isso é importante?

Tem alguma fonte de informação autoritativa que justifique o seu uso?

Note que não estou perguntando se você usa de um jeito ou de outro, e o que você acha que é certo. Respostas com opiniões sem base são inválidas e devem ser votadas negativamente. Informações que indiquem com clareza e justificativa de qual o motivo do uso, ou não, são construtivas.
",é comum encontrar uma mensagem de erro que diz desculpe você não tem permissão para acessar esta função entre em contato com o administrador para obter ajuda é apropriado um pedido de desculpas neste caso é um caso claro que o problema não é culpa do sistemaplataformaprovedor do serviço então por que deveria existir esse pedido de desculpas isso é importante tem alguma fonte de informação autoritativa que justifique o seu uso note que não estou perguntando se você usa de um jeito ou de outro e o que você acha que é certo respostas com opiniões sem base são inválidas e devem ser votadas negativamente informações que indiquem com clareza e justificativa de qual o motivo do uso ou não são construtivas 
4,4,17501,"Qual é a diferença de API, biblioteca e Framework?","<p>Me parecem termos muito próximos e eventualmente vejo textos que trocam um pelo outro, como se em algumas determinadas situações suas definições se sobreponham.</p>

<p>Quais seriam as definições técnicas que permitem distinguir o que é API, biblioteca e Framework?</p>

<p>Em quais situações é permitido intercambiar os termos sem ferir sua definição técnica?</p>
",<api><framework><terminologia><biblioteca>,193,54191,"Me parecem termos muito próximos e eventualmente vejo textos que trocam um pelo outro, como se em algumas determinadas situações suas definições se sobreponham.

Quais seriam as definições técnicas que permitem distinguir o que é API, biblioteca e Framework?

Em quais situações é permitido intercambiar os termos sem ferir sua definição técnica?
",me parecem termos muito próximos e eventualmente vejo textos que trocam um pelo outro como se em algumas determinadas situações suas definições se sobreponham quais seriam as definições técnicas que permitem distinguir o que é api biblioteca e framework em quais situações é permitido intercambiar os termos sem ferir sua definição técnica 
5,5,3864,Como prevenir injeção de código SQL no meu código PHP?,"<p>Desenvolvi uma página em PHP para uso interno da empresa que trabalho e apenas pouquíssimas pessoas a utilizam. Através dessa página é possível fazer algumas consultas, inserções, alterações e remoções de dados de uma tabela em um banco de dados MySQL, porém eu acredito que meu código em PHP não está protegido contra injeção de código SQL, por exemplo:</p>

<pre><code>//----CONSULTA SQL----//
$busca = mysql_query ('insert into Produtos (coluna) values(' . $valor . ')');
</code></pre>

<p>Logo, digamos que o usuário usar a sentença: <code>1); DROP TABLE Produtos;</code> para ao campo <code>valor</code> o comando ficaria: </p>

<pre><code>insert into Produtos (coluna) values(1); DROP TABLE Produtos;
</code></pre>

<p>Ele vai inserir um novo registro cujo o campo <code>coluna</code> será <code>1</code> e logo em seguida ele vai deletar a tabela Produtos.</p>

<p>Como posso melhorar meu código para prevenir essa situação?</p>
",<php><mysql><sql><sql-injection>,180,10243,"Desenvolvi uma página em PHP para uso interno da empresa que trabalho e apenas pouquíssimas pessoas a utilizam. Através dessa página é possível fazer algumas consultas, inserções, alterações e remoções de dados de uma tabela em um banco de dados MySQL, porém eu acredito que meu código em PHP não está protegido contra injeção de código SQL, por exemplo:

CODE

Logo, digamos que o usuário usar a sentença: CODE para ao campo CODE o comando ficaria: 

CODE

Ele vai inserir um novo registro cujo o campo CODE será CODE e logo em seguida ele vai deletar a tabela Produtos.

Como posso melhorar meu código para prevenir essa situação?
",desenvolvi uma página em php para uso interno da empresa que trabalho e apenas pouquíssimas pessoas a utilizam através dessa página é possível fazer algumas consultas inserções alterações e remoções de dados de uma tabela em um banco de dados mysql porém eu acredito que meu código em php não está protegido contra injeção de código sql por exemplo code logo digamos que o usuário usar a sentença code para ao campo code o comando ficaria code ele vai inserir um novo registro cujo o campo code será code e logo em seguida ele vai deletar a tabela produtos como posso melhorar meu código para prevenir essa situação 
6,6,3797,"O que são e onde estão o ""stack"" e ""heap""?","<p>O que são esses tais de <em>stack</em> e <em>heap</em> que tanto se fala em gerenciamento de memória?</p>

<p>Isso realmente são porções da memória como algumas pessoas falam ou é apenas um conceito abstrato para facilitar o entendimento da forma como se gerencia a memória?</p>

<p>Algum deles é mais rápido que o outro? Se um é claramente mais rápido, por que existe o outro?</p>

<p>Faz diferença se estou usando, por exemplo, Assembly, C, Java, ou Javascript, Windows ou Linux? Isso é controlado pela ""linguagem"" ou pelo sistema operacional?</p>

<p>Enfim, queria entender melhor esse conceito que parece ser mal compreendido pelos programadores. Seria muito útil uma explicação para quem está começando ou aprendeu isso de forma errada.</p>
",<memória><gerenciamento-de-memória><stack><heap>,179,24733,"O que são esses tais de stack e heap que tanto se fala em gerenciamento de memória?

Isso realmente são porções da memória como algumas pessoas falam ou é apenas um conceito abstrato para facilitar o entendimento da forma como se gerencia a memória?

Algum deles é mais rápido que o outro? Se um é claramente mais rápido, por que existe o outro?

Faz diferença se estou usando, por exemplo, Assembly, C, Java, ou Javascript, Windows ou Linux? Isso é controlado pela ""linguagem"" ou pelo sistema operacional?

Enfim, queria entender melhor esse conceito que parece ser mal compreendido pelos programadores. Seria muito útil uma explicação para quem está começando ou aprendeu isso de forma errada.
",o que são esses tais de stack e heap que tanto se fala em gerenciamento de memória isso realmente são porções da memória como algumas pessoas falam ou é apenas um conceito abstrato para facilitar o entendimento da forma como se gerencia a memória algum deles é mais rápido que o outro se um é claramente mais rápido por que existe o outro faz diferença se estou usando por exemplo assembly c java ou javascript windows ou linux isso é controlado pela linguagem ou pelo sistema operacional enfim queria entender melhor esse conceito que parece ser mal compreendido pelos programadores seria muito útil uma explicação para quem está começando ou aprendeu isso de forma errada 
7,7,45783,O que é REST e RESTful?,"<p>Sempre ouço falar de <code>REST</code> e <code>RESTful</code>, mas não sei diferenciar um do outro nem para que servem. </p>

<p>Me pareceu algo com padrão de arquitetura de aplicação estilo Common.js.</p>
",<api><rest><http><arquitetura-de-software><restful>,164,118348,"Sempre ouço falar de CODE e CODE, mas não sei diferenciar um do outro nem para que servem. 

Me pareceu algo com padrão de arquitetura de aplicação estilo Common.js.
",sempre ouço falar de code e code mas não sei diferenciar um do outro nem para que servem me pareceu algo com padrão de arquitetura de aplicação estilo commonjs 
8,8,9026,Como é gerada a randomização pelo computador?,"<h2>Dúvidas</h2>

<ol>
<li>Como é feita a randomização pelo computador?</li>
<li>Qual algorítimo ou qual base matemática o computador usa para gerar
esses números?</li>
</ol>

<h2>Por exemplo:</h2>

<p>No JavaScript utilizo o <a href=""https://developer.mozilla.org/pt-BR/docs/Web/JavaScript/Reference/Global_Objects/Math/random""><code>Math.random()</code></a> ele me retorna diferentes números todas as vezes como por exemplo: 
<code>0.8908976025413722, 0.7090631313621998</code> e etc.</p>
",<javascript><matemática><números-aleatórios><random>,160,4057,"Dúvidas


Como é feita a randomização pelo computador?
Qual algorítimo ou qual base matemática o computador usa para gerar
esses números?


Por exemplo:

No JavaScript utilizo o CODE ele me retorna diferentes números todas as vezes como por exemplo: 
CODE e etc.
",dúvidas como é feita a randomização pelo computador qual algorítimo ou qual base matemática o computador usa para gerar esses números por exemplo no javascript utilizo o code ele me retorna diferentes números todas as vezes como por exemplo code e etc 
9,9,400,Como buscar um endereço por CEP nos Correios?,"<p>Como busco nos Correios os detalhes de um endereço utilizando seu CEP (similar aos cadastros de endereço que vemos nos sites de e-commerce)?</p>
",<cep><correios><código-postal><brasil><e-dne>,153,68055,"Como busco nos Correios os detalhes de um endereço utilizando seu CEP (similar aos cadastros de endereço que vemos nos sites de e-commerce)?
",como busco nos correios os detalhes de um endereço utilizando seu cep similar aos cadastros de endereço que vemos nos sites de ecommerce 
10,10,27177,O que é callback?,"<p>Vejo em muitos códigos e até mesmo arquiteturas a palavra callback, vejo que é em funções JavaScript.</p>

<ul>
<li>Mas o que é?</li>
<li>Como é usada?</li>
<li>Por que?</li>
</ul>

<p>Gostaria de um exemplo de uso real.</p>
",<javascript><terminologia><callback>,146,48560,"Vejo em muitos códigos e até mesmo arquiteturas a palavra callback, vejo que é em funções JavaScript.


Mas o que é?
Como é usada?
Por que?


Gostaria de um exemplo de uso real.
",vejo em muitos códigos e até mesmo arquiteturas a palavra callback vejo que é em funções javascript mas o que é como é usada por que gostaria de um exemplo de uso real 
11,11,2477,"Por que devo usar apenas um ""return"" em cada função?","<p>É comum vermos a recomendação de usar apenas um <code>return</code> por função/método. Mas isso parece algo sem sentido e deixa o código mais confuso em muitos casos.</p>

<h3>Veja os exemplos:</h3>

<p>Forma como eu costumo fazer:</p>



<pre class=""lang-c prettyprint-override""><code>if (cond)
    return 0;
else
    return 1;
</code></pre>

<p>Forma como é recomendado:</p>

<pre class=""lang-c prettyprint-override""><code>int resultado;
if (cond)
    resultado = 0;
else
    resultado = 1;
return resultado;
</code></pre>

<p>Por que há essa recomendação? O que se ganha em usar um único <code>return</code>?</p>
",<funções><estilo-de-codificação><return>,145,4702,"É comum vermos a recomendação de usar apenas um CODE por função/método. Mas isso parece algo sem sentido e deixa o código mais confuso em muitos casos.

Veja os exemplos:

Forma como eu costumo fazer:



CODE

Forma como é recomendado:

CODE

Por que há essa recomendação? O que se ganha em usar um único CODE?
",é comum vermos a recomendação de usar apenas um code por funçãométodo mas isso parece algo sem sentido e deixa o código mais confuso em muitos casos veja os exemplos forma como eu costumo fazer code forma como é recomendado code por que há essa recomendação o que se ganha em usar um único code 
12,12,7257,Como proteger o código fonte?,"<p>Estou pensando em fazer uma aplicação para vender, gostaria de saber como proteger meu código fonte para manter meu software seguro.</p>

<p>Eu vi que os bytecodes do Java, armazenados no arquivo <code>.class</code> são facilmente convertidos de volta para <code>.java</code> usando a ferramenta <a href=""http://jd.benow.ca/"" rel=""noreferrer"">Java Decompiler</a></p>

<p>Os <code>.class</code> podem ser facilmente encontrados dentro de um <code>.jar</code> para o caso dos desktops, ou até mesmo em um <code>.apk</code>, conforme mostrado <a href=""https://stackoverflow.com/q/3593420/1964435"">nesse post</a>.</p>

<p>Como fazem os milhões de aplicativos no Google Play para protegerem seus códigos fontes? Pois deixá-los expostos me parece meio inseguro, ou não é? Se sim (se é inseguro), tem como eu desenvolver aplicações que mantenham escondido o código fonte em Java para desktop e Android?</p>

<p><strong>EDIÇÃO</strong></p>

<p>A resposta do @mgibsonbr me convenceu de não ser paranoico e querer proteger todo o código fonte, entretanto existem alguns pontos da aplicação que <strong>não podem</strong> ser revelados por motivo de segurança dos dados, por exemplo:</p>

<pre><code>try {
    String url = ""jdbc:mysql://mysql01.meudominio.com/bd"";
    Class.forName(""com.mysql.jdbc.Driver"");
    conn = DriverManager.getConnection(url,""usuario"",""senha"");
    System.out.println(""Remote database connection established"");
}
</code></pre>

<p>Imaginem o estrago se alguém tiver o endereço, o usuário e a senha do seu banco de dados.</p>

<p>Nos comentários o @mgibsonbr tentou responder essa minha dúvida, mas eu não entendi, ou talvez eu não tenha deixado a dúvida clara, enfim.</p>

<p>Sobre o ofuscador, através de testes pude ver que ele funciona. Entretanto tenho dúvidas se ele é mesmo a solução que eu procuro ou se a solução na verdade é remodelar o meu software de uma maneira que não guarde no código fonte nenhum tipo de informações que exijam segredo como por exemplo usuário, senhas e endereços de BD.</p>

<p>Se a solução for remodelar o software, por favor me expliquem como manter um arquivo externo ao código fonte de uma maneira que não seja possível o <em>hacker</em> copiar a parte do meu código fonte que faz a leitura desse arquivo externo, tendo então o código que consegue ler o arquivo, da mesma maneira que meu software faz.</p>
",<java><android><segurança><descompilação><ofuscação>,143,15330,"Estou pensando em fazer uma aplicação para vender, gostaria de saber como proteger meu código fonte para manter meu software seguro.

Eu vi que os bytecodes do Java, armazenados no arquivo CODE são facilmente convertidos de volta para CODE usando a ferramenta Java Decompiler

Os CODE podem ser facilmente encontrados dentro de um CODE para o caso dos desktops, ou até mesmo em um CODE, conforme mostrado nesse post.

Como fazem os milhões de aplicativos no Google Play para protegerem seus códigos fontes? Pois deixá-los expostos me parece meio inseguro, ou não é? Se sim (se é inseguro), tem como eu desenvolver aplicações que mantenham escondido o código fonte em Java para desktop e Android?

EDIÇÃO

A resposta do @mgibsonbr me convenceu de não ser paranoico e querer proteger todo o código fonte, entretanto existem alguns pontos da aplicação que não podem ser revelados por motivo de segurança dos dados, por exemplo:

CODE

Imaginem o estrago se alguém tiver o endereço, o usuário e a senha do seu banco de dados.

Nos comentários o @mgibsonbr tentou responder essa minha dúvida, mas eu não entendi, ou talvez eu não tenha deixado a dúvida clara, enfim.

Sobre o ofuscador, através de testes pude ver que ele funciona. Entretanto tenho dúvidas se ele é mesmo a solução que eu procuro ou se a solução na verdade é remodelar o meu software de uma maneira que não guarde no código fonte nenhum tipo de informações que exijam segredo como por exemplo usuário, senhas e endereços de BD.

Se a solução for remodelar o software, por favor me expliquem como manter um arquivo externo ao código fonte de uma maneira que não seja possível o hacker copiar a parte do meu código fonte que faz a leitura desse arquivo externo, tendo então o código que consegue ler o arquivo, da mesma maneira que meu software faz.
",estou pensando em fazer uma aplicação para vender gostaria de saber como proteger meu código fonte para manter meu software seguro eu vi que os bytecodes do java armazenados no arquivo code são facilmente convertidos de volta para code usando a ferramenta java decompiler os code podem ser facilmente encontrados dentro de um code para o caso dos desktops ou até mesmo em um code conforme mostrado nesse post como fazem os milhões de aplicativos no google play para protegerem seus códigos fontes pois deixálos expostos me parece meio inseguro ou não é se sim se é inseguro tem como eu desenvolver aplicações que mantenham escondido o código fonte em java para desktop e android edição a resposta do mgibsonbr me convenceu de não ser paranoico e querer proteger todo o código fonte entretanto existem alguns pontos da aplicação que não podem ser revelados por motivo de segurança dos dados por exemplo code imaginem o estrago se alguém tiver o endereço o usuário e a senha do seu banco de dados nos comentários o mgibsonbr tentou responder essa minha dúvida mas eu não entendi ou talvez eu não tenha deixado a dúvida clara enfim sobre o ofuscador através de testes pude ver que ele funciona entretanto tenho dúvidas se ele é mesmo a solução que eu procuro ou se a solução na verdade é remodelar o meu software de uma maneira que não guarde no código fonte nenhum tipo de informações que exijam segredo como por exemplo usuário senhas e endereços de bd se a solução for remodelar o software por favor me expliquem como manter um arquivo externo ao código fonte de uma maneira que não seja possível o hacker copiar a parte do meu código fonte que faz a leitura desse arquivo externo tendo então o código que consegue ler o arquivo da mesma maneira que meu software faz 
13,13,13364,Qual a diferença entre as funções var name = function() e function name()?,"<p>Vejo em alguns códigos diferentes maneiras de definir uma função, mas desconheço a diferença se é que existe. Qual a diferença entre estas funções?</p>

<p><strong>Função 1</strong></p>

<pre><code>function teste(valor){
    return (valor &gt; 1) ? true : false;
}
</code></pre>

<p><strong>Função 2</strong></p>

<pre><code>var teste = function(valor){
    return (valor &gt; 1) ? true : false;
}
</code></pre>
",<javascript>,134,4489,"Vejo em alguns códigos diferentes maneiras de definir uma função, mas desconheço a diferença se é que existe. Qual a diferença entre estas funções?

Função 1

CODE

Função 2

CODE
",vejo em alguns códigos diferentes maneiras de definir uma função mas desconheço a diferença se é que existe qual a diferença entre estas funções função code função code 
14,14,8315,"Quais as diferenças entre Git, SVN e CVS?","<p>Quais as vantagens, limitações e principais diferenças entre esses 3 sistemas de versionamento, Git, SVN e CVS?</p>
",<git><versionamento><svn>,130,18463,"Quais as vantagens, limitações e principais diferenças entre esses 3 sistemas de versionamento, Git, SVN e CVS?
",quais as vantagens limitações e principais diferenças entre esses sistemas de versionamento git svn e cvs 
15,15,11183,"Quais as principais diferenças entre SOAP, REST?","<ul>
<li>Quais as principais diferenças entre esses tipos de Web Service? </li>
<li>Em quais casos se aplicam?</li>
<li>Existe alguma diferença de performance?</li>
</ul>
",<web-service>,125,85346,"
Quais as principais diferenças entre esses tipos de Web Service? 
Em quais casos se aplicam?
Existe alguma diferença de performance?

", quais as principais diferenças entre esses tipos de web service em quais casos se aplicam existe alguma diferença de performance 
16,16,32448,Qual a diferença entre parâmetro e argumento?,"<p>Sempre utilizei os termos ""parâmetro"" e ""argumento"" como se fossem sinônimos: aquilo que é passado para uma função e/ou que a função recebe como entrada. Da mesma forma, tenho lido um e outro termo, em inglês e português, ora sendo usado um ora outro, mas não consegui perceber nenhum critério na escolha entre um e outro.</p>

<p>Há diferença entre eles? Ou são sinônimos mesmo? Já cheguei a pensar que ""parâmetro"" era o único termo correto (pois é usado na matemática) e que ""argumento"" era algum erro de tradução, mas depois percebi que não é o caso (em inglês também temos ""<em>parameter</em>"" e ""<em>argument</em>""). Qual a forma correta de se usar esses termos?</p>
",<parâmetros><terminologia><argumento>,123,13937,"Sempre utilizei os termos ""parâmetro"" e ""argumento"" como se fossem sinônimos: aquilo que é passado para uma função e/ou que a função recebe como entrada. Da mesma forma, tenho lido um e outro termo, em inglês e português, ora sendo usado um ora outro, mas não consegui perceber nenhum critério na escolha entre um e outro.

Há diferença entre eles? Ou são sinônimos mesmo? Já cheguei a pensar que ""parâmetro"" era o único termo correto (pois é usado na matemática) e que ""argumento"" era algum erro de tradução, mas depois percebi que não é o caso (em inglês também temos ""parameter"" e ""argument""). Qual a forma correta de se usar esses termos?
",sempre utilizei os termos parâmetro e argumento como se fossem sinônimos aquilo que é passado para uma função eou que a função recebe como entrada da mesma forma tenho lido um e outro termo em inglês e português ora sendo usado um ora outro mas não consegui perceber nenhum critério na escolha entre um e outro há diferença entre eles ou são sinônimos mesmo já cheguei a pensar que parâmetro era o único termo correto pois é usado na matemática e que argumento era algum erro de tradução mas depois percebi que não é o caso em inglês também temos parameter e argument qual a forma correta de se usar esses termos 
17,17,7,Qual a diferença entre os operadores == e === em JavaScript?,"<p>Estou com o seguinte código em JavaScript:</p>

<pre class=""lang-javascript prettyprint-override""><code>var x = 0;

if (x === false) {
  // não acessa
}

if (x == false) {
  // acessa
}
</code></pre>

<ul>
<li>Por que a expressão com o operador <code>==</code> retorna <code>true</code> e com o operador <code>===</code> retorna <code>false</code>? </li>
<li>Qual é a diferença entre os dois operadores?</li>
</ul>
",<javascript><operadores>,122,16944,"Estou com o seguinte código em JavaScript:

CODE


Por que a expressão com o operador CODE retorna CODE e com o operador CODE retorna CODE? 
Qual é a diferença entre os dois operadores?

",estou com o seguinte código em javascript code por que a expressão com o operador code retorna code e com o operador code retorna code qual é a diferença entre os dois operadores 
18,18,101691,"O que é linguagem de programação, IDE e compilador?","<p>Iniciar em programação nem sempre é fácil, além de termos que aprender a ""escrever o código"", existem dezenas de termos, tecnologias, entre outras coisas que precisam ser estudadas.</p>

<p>Visando ajudar quem está começando, minha pergunta é: o que é uma linguagem de programação, uma IDE e um compilador? Qual a relação entre esses itens?</p>
",<terminologia><ide><independente-de-linguagem><compiladores><ciência-da-computação>,122,32820,"Iniciar em programação nem sempre é fácil, além de termos que aprender a ""escrever o código"", existem dezenas de termos, tecnologias, entre outras coisas que precisam ser estudadas.

Visando ajudar quem está começando, minha pergunta é: o que é uma linguagem de programação, uma IDE e um compilador? Qual a relação entre esses itens?
",iniciar em programação nem sempre é fácil além de termos que aprender a escrever o código existem dezenas de termos tecnologias entre outras coisas que precisam ser estudadas visando ajudar quem está começando minha pergunta é o que é uma linguagem de programação uma ide e um compilador qual a relação entre esses itens 
